plate,mjd,fiberID,subClass
282,51630,558,M7
282,51630,559,F5
282,51658,559,M7
282,51630,561,A0
282,51658,564,F5
282,51658,565,A0
282,51630,575,A0
282,51630,576,F5
282,51658,577,A0
282,51658,582,A0
282,51630,583,A0
282,51658,587,M4
282,51630,592,M4
282,51658,592,M5
282,51630,593,M8
282,51658,595,A0
282,51630,597,M5
282,51630,598,A0
282,51630,599,A0
282,51658,599,M8
282,51658,600,A0
282,51630,601,A0
282,51658,601,A0
282,51630,607,A0
282,51658,607,F5
282,51630,608,F5
282,51630,609,A0
282,51658,610,A0
282,51630,612,A0
282,51658,613,A0
282,51658,614,A0
282,51630,617,A0
282,51658,617,A0
282,51658,618,F5
282,51630,620,A0
282,51658,627,F5
282,51630,631,F5
283,51660,7,A0
283,51660,8,A0
283,51959,12,A0
283,51959,20,A0
283,51959,21,A0
283,51959,23,F5
283,51584,24,F5
283,51660,24,F5
283,51584,25,F5
283,51660,25,A0
283,51660,26,F5
283,51959,27,F5
283,51584,29,A0
283,51660,105,A0
323,51615,323,K7
323,51615,324,K5
323,51615,325,K3
323,51615,326,F5
323,51615,327,F9
323,51615,328,K5
323,51615,329,M3
323,51615,330,M0
323,51615,331,M0
323,51615,332,K1
323,51615,333,M0
323,51615,334,M1
323,51615,335,F5
323,51615,336,F9
323,51615,337,M3
323,51615,339,F5
323,51615,340,K3
323,51615,341,K5
323,51615,342,A0
323,51615,343,K7
323,51615,344,K7
323,51615,345,F5
323,51615,346,M1
323,51615,348,M2
323,51615,349,K1
323,51615,350,F9
323,51615,351,F9
323,51615,352,F9
323,51615,353,M3
323,51615,354,G2
323,51615,355,M1
323,51615,356,K3
323,51615,357,K5
323,51615,358,F9
323,51615,359,M0
323,51615,360,F9
323,51615,361,K1
323,51615,362,G2
323,51615,363,K3
323,51615,364,F5
323,51615,365,F5
323,51615,367,K7
323,51615,368,F2
323,51615,369,K3
323,51615,371,M0
323,51615,372,F9
323,51615,373,M1
323,51615,374,F9
323,51615,375,F9
323,51615,376,F9
323,51615,377,M3
323,51615,378,M2
323,51615,379,F5
323,51615,380,G2
323,51615,381,M0
323,51615,382,K5
323,51615,383,K5
323,51615,384,M0
323,51615,385,F9
323,51615,386,G2
323,51615,387,F9
323,51615,388,K3
323,51615,389,A0
323,51615,390,M2
323,51615,391,G2
323,51615,392,K1
323,51615,393,M1
323,51615,394,K5
323,51615,395,F9
323,51615,397,F9
323,51615,398,F9
323,51615,399,K7
323,51615,400,A0
323,51615,401,M2
323,51615,402,M1
323,51615,404,K1
323,51615,405,F5
323,51615,406,K5
323,51615,407,K5
323,51615,408,F2
323,51615,409,K1
323,51615,410,M3
323,51615,411,M0
323,51615,412,K7
323,51615,413,K7
323,51615,414,M3
323,51615,415,M0
323,51615,416,K3
323,51615,417,K7
323,51615,418,M0
323,51615,419,F9
323,51615,420,M2
323,51615,421,F5
323,51615,422,G2
323,51615,424,K7
323,51615,425,M0
323,51615,426,K7
323,51615,427,K3
323,51615,428,K7
323,51615,429,K3
323,51615,430,K3
323,51615,431,M0
323,51615,432,K5
323,51615,433,F5
323,51615,434,G2
323,51615,435,M2
323,51615,436,F5
323,51615,437,A0
323,51615,439,G2
323,51615,440,F9
323,51615,441,M0
323,51615,442,K3
323,51615,443,K3
323,51615,444,M2
323,51615,445,K3
323,51615,446,F5
323,51615,447,K7
323,51615,448,G2
323,51615,449,K3
323,51615,450,F5
323,51615,451,K7
323,51615,452,K5
323,51615,453,K5
323,51615,454,F9
323,51615,455,K7
323,51615,456,K3
323,51615,457,M1
323,51615,458,K5
323,51615,460,F2
323,51615,462,M0
323,51615,463,F9
323,51615,464,K3
323,51615,465,M1
323,51615,466,M1
323,51615,467,F9
323,51615,468,M2
323,51615,469,M0
323,51615,470,M0
323,51615,471,K5
323,51615,472,F9
323,51615,473,F9
323,51615,474,K1
323,51615,475,K5
323,51615,476,G0
323,51615,477,F5
323,51615,478,K5
323,51615,479,K7
323,51615,480,M5
323,51615,481,K5
323,51615,482,M1
323,51615,483,G2
323,51615,484,F9
323,51615,485,K7
323,51615,486,K5
323,51615,487,G0
323,51615,488,M0
323,51615,489,M0
323,51615,490,F5
323,51615,491,K7
323,51615,492,K7
323,51615,493,M1
323,51615,494,F9
323,51615,495,K7
323,51615,496,K3
323,51615,497,F5
323,51615,498,K5
323,51615,499,G2
323,51615,501,M1
323,51615,502,K3
323,51615,503,F9
323,51615,504,M1
323,51615,505,K5
323,51615,506,K5
323,51615,508,A0
323,51615,509,M3
281,51614,241,F9
281,51614,243,A0
281,51614,244,G2
281,51614,245,F5
281,51614,247,A0
281,51614,254,K5
281,51614,263,G0
281,51614,266,G2
281,51614,272,K7
281,51614,273,K1
281,51614,274,F5
281,51614,278,K7
281,51614,279,K5
281,51614,284,K3
281,51614,292,K3
281,51614,293,K7
281,51614,294,F5
281,51614,297,K5
281,51614,302,A0
281,51614,317,F5
281,51614,325,F9
281,51614,361,F9
281,51614,375,F5
281,51614,377,G2
281,51614,392,K1
281,51614,398,A0
281,51614,401,G0
281,51614,402,M2
281,51614,409,A0
281,51614,410,A0
281,51614,413,G0
281,51614,417,K1
281,51614,423,F9
281,51614,426,K3
281,51614,430,M1
281,51614,438,A0
281,51614,455,K3
281,51614,460,A0
281,51614,462,K3
281,51614,463,G2
281,51614,469,F5
281,51614,470,A0
281,51614,472,F5
281,51614,473,K3
281,51614,479,F9
281,51614,483,F2
281,51614,485,A0
281,51614,497,A0
281,51614,514,K1
281,51614,517,M0
281,51614,519,F5
281,51614,538,A0
281,51614,545,K1
281,51614,548,F5
281,51614,558,F5
281,51614,572,A0
281,51614,582,K1
281,51614,586,F9
281,51614,596,F9
281,51614,632,F9
282,51630,2,F5
282,51658,2,F2
282,51630,4,F5
282,51630,6,M3
282,51658,11,F5
282,51658,15,M3
282,51630,25,F5
282,51658,25,F5
282,51658,33,F5
282,51630,38,F5
282,51658,39,M9
282,51630,41,A0
315,51663,511,A0
315,51663,512,F5
315,51663,515,G0
315,51663,516,F2
315,51663,526,K7
315,51663,530,G2
315,51663,540,K5
315,51663,546,K5
315,51663,555,M3
315,51663,561,G2
315,51663,588,A0
315,51663,602,F5
315,51663,616,M4
315,51663,624,OB
315,51663,640,A0
323,51615,1,K5
323,51615,2,K7
323,51615,3,G0
323,51615,4,F5
323,51615,5,K7
323,51615,6,K3
323,51615,7,F9
323,51615,8,M0
323,51615,9,K5
323,51615,10,F9
323,51615,12,K5
323,51615,13,F9
323,51615,14,K5
323,51615,15,F5
323,51615,16,K5
323,51615,17,K1
323,51615,18,K5
323,51615,19,K7
323,51615,20,F9
323,51615,21,G2
323,51615,22,K7
323,51615,23,K7
323,51615,25,K5
323,51615,26,G0
323,51615,27,F9
323,51615,28,K5
323,51615,29,M0
323,51615,30,M3
323,51615,31,K5
323,51615,32,G0
323,51615,33,F9
323,51615,34,K3
323,51615,35,F9
323,51615,36,F9
323,51615,37,M1
323,51615,38,F5
323,51615,39,F9
323,51615,40,K3
323,51615,41,K3
323,51615,42,F9
323,51615,43,K5
323,51615,44,K3
323,51615,45,A0
323,51615,46,M1
323,51615,47,M1
323,51615,48,M3
323,51615,49,K5
323,51615,51,M0
323,51615,52,K3
323,51615,53,F9
323,51615,54,K3
323,51615,55,G0
323,51615,56,M1
323,51615,57,F9
323,51615,58,G2
323,51615,59,K7
323,51615,60,K3
323,51615,61,K3
323,51615,62,K7
323,51615,63,F9
323,51615,65,M0
323,51615,66,M2
323,51615,67,M2
323,51615,68,K3
323,51615,69,M3
323,51615,70,K5
323,51615,71,A0
323,51615,72,M3
323,51615,73,F9
323,51615,74,M2
323,51615,75,K7
323,51615,76,F9
323,51615,77,K3
323,51615,78,F9
323,51615,79,K7
323,51615,80,K5
323,51615,81,K1
323,51615,82,M1
323,51615,83,G2
323,51615,84,F5
323,51615,85,F5
323,51615,86,F9
323,51615,87,A0
323,51615,88,F5
323,51615,89,F9
323,51615,90,K5
323,51615,91,F9
323,51615,92,K7
323,51615,93,K5
323,51615,94,M0
323,51615,96,F9
323,51615,97,F9
323,51615,98,M1
323,51615,99,A0p
323,51615,100,M1
323,51615,101,M1
323,51615,102,F9
323,51615,103,M0
323,51615,104,F9
323,51615,106,M1
323,51615,107,K7
323,51615,108,M0
323,51615,109,F9
323,51615,110,F5
323,51615,111,G0
323,51615,112,M0
323,51615,113,K3
323,51615,114,F5
323,51615,115,K3
323,51615,116,K3
323,51615,117,G0
323,51615,118,K7
323,51615,119,K7
323,51615,120,K7
323,51615,121,M1
323,51615,122,M1
323,51615,123,M3
323,51615,124,K5
323,51615,125,M4
323,51615,126,M3
323,51615,127,M0
323,51615,128,M4
323,51615,129,K3
323,51615,130,A0
323,51615,131,K3
323,51615,132,K7
323,51615,133,F9
323,51615,134,K5
323,51615,135,K5
323,51615,136,G2
323,51615,137,G2
323,51615,138,M2
323,51615,140,K3
323,51615,141,M3
323,51615,142,M1
323,51615,143,M2
323,51615,145,A0
323,51615,146,F9
323,51615,147,F9
323,51615,510,F9
323,51615,511,K5
323,51615,512,F5
323,51615,513,G0
323,51615,514,F5
323,51615,515,F9
323,51615,516,G0
323,51615,517,F5
323,51615,518,M2
323,51615,519,K3
323,51615,520,A0p
323,51615,521,K5
323,51615,522,F9
323,51615,523,F9
323,51615,524,K7
323,51615,525,K5
323,51615,526,M0
323,51615,527,M0
323,51615,528,K7
323,51615,529,A0
323,51615,530,M1
323,51615,531,K5
323,51615,532,K7
323,51615,533,K3
323,51615,535,K3
323,51615,536,K3
323,51615,537,M0
323,51615,538,F9
323,51615,539,F2
323,51615,540,F9
323,51615,541,F9
323,51615,542,K7
323,51615,543,K3
323,51615,544,F9
323,51615,545,F5
323,51615,546,F5
323,51615,547,A0
323,51615,548,M3
323,51615,549,M0
323,51615,551,M0
323,51615,552,F9
323,51615,553,F9
323,51615,554,K7
323,51615,555,K1
323,51615,556,F2
323,51615,557,F2
323,51615,558,G2
323,51615,559,K3
323,51615,560,F9
323,51615,562,K7
323,51615,563,M0
323,51615,564,F5
323,51615,565,K7
323,51615,566,G2
323,51615,567,F5
323,51615,568,K1
323,51615,569,K3
323,51615,570,M0
323,51615,571,G0
323,51615,572,A0
323,51615,573,K7
323,51615,574,F9
323,51615,575,F5
323,51615,576,K1
323,51615,577,M1
323,51615,578,F9
323,51615,579,K5
323,51615,580,F9
323,51615,581,K5
323,51615,582,K1
323,51615,583,K7
323,51615,584,F5
323,51615,585,F9
323,51615,586,F5
323,51615,587,K3
323,51615,588,F5
323,51615,589,F5
323,51615,590,K5
323,51615,591,K5
323,51615,592,F5
323,51615,593,F9
323,51615,594,K7
323,51615,595,F5
323,51615,597,M0
323,51615,598,K1
323,51615,599,F9
323,51615,600,M3
323,51615,601,F9
323,51615,602,A0
323,51615,603,F5
323,51615,604,K1
323,51615,605,M0
323,51615,606,F9
323,51615,607,F5
323,51615,608,K5
323,51615,610,G2
323,51615,611,M1
323,51615,612,M3
323,51615,613,K3
323,51615,614,K3
323,51615,615,M0
323,51615,616,K3
323,51615,617,K5
323,51615,618,M0
323,51615,619,F9
323,51615,620,K7
323,51615,621,K3
323,51615,622,M0
323,51615,623,K1
323,51615,624,K1
323,51615,625,K1
323,51615,626,K5
323,51615,627,F5
323,51615,628,F9
323,51615,630,M2
323,51615,631,K1
323,51615,632,K7
323,51615,633,F5
323,51615,634,F5
323,51615,635,K1
323,51615,636,K3
323,51615,637,K7
323,51615,638,F5
323,51615,639,K7
323,51615,640,M1
324,51666,1,F9
324,51666,2,K5
324,51616,3,K3
324,51666,3,K3
324,51666,4,G0
324,51616,5,M2
324,51666,5,M2
324,51616,6,M0
324,51666,6,M0
324,51666,7,G0
324,51666,8,F5
324,51616,9,K7
324,51666,9,M0
324,51666,10,M2
324,51666,11,K1
324,51616,12,M1
324,51666,12,F9
324,51616,13,F5
324,51666,13,F5
324,51616,14,F9
324,51666,14,M0
324,51616,15,M2
324,51666,15,K5
324,51616,16,K5
324,51666,16,K5
324,51616,17,K3
324,51666,17,M1
324,51616,18,K3
324,51666,18,K3
324,51616,19,M0
324,51666,19,K1
324,51616,21,K7
324,51666,21,K7
324,51666,22,K7
324,51666,23,M1
324,51666,24,K3
324,51616,25,A0
324,51666,25,K7
324,51666,26,G0
324,51616,27,K5
324,51666,27,K5
324,51616,28,M3
324,51666,28,M3
324,51616,29,K7
324,51666,29,K5
324,51666,30,K5
324,51616,31,F9
324,51666,31,G2
324,51666,32,K7
324,51666,33,A0
324,51616,34,M1
324,51666,34,M1
324,51616,35,A0
324,51666,35,A0
324,51666,36,F5
324,51616,37,M1
324,51666,38,F9
324,51616,39,K3
324,51666,39,A0
324,51616,40,K7
324,51666,40,G2
324,51616,41,M3
324,51666,41,M3
324,51666,42,K3
324,51616,43,M3
324,51666,43,M3
324,51616,44,M3
324,51666,44,M3
324,51616,45,F9
324,51666,45,F9
324,51666,46,M3
324,51616,47,M0
324,51666,47,M0
324,51616,48,M2
324,51666,48,M2
324,51616,49,M1
324,51666,49,M1
324,51616,50,K7
324,51666,50,K7
324,51616,51,F9
324,51666,51,G2
324,51616,53,M3
324,51616,54,M3
324,51666,54,M3
324,51616,55,K5
324,51666,55,K5
324,51666,56,K5
324,51616,57,K7
324,51666,57,K7
324,51616,58,M2
324,51666,58,M2
324,51616,59,K7
324,51666,59,M1
324,51616,60,M1
324,51666,60,K5
324,51616,61,M1
324,51666,61,M1
324,51616,62,F9
324,51666,62,F9
324,51666,63,A0
324,51616,64,M1
283,51660,456,F5
283,51959,457,F9
283,51959,459,M0
283,51584,460,F9
283,51584,470,K7
283,51959,470,K5
283,51584,472,F5
283,51959,473,F5
283,51959,475,F5
283,51660,479,F5
283,51660,480,F5
283,51584,491,F5
283,51660,492,F5
283,51959,500,F5
283,51959,508,OB
283,51660,527,A0
283,51959,535,A0
283,51584,537,A0
283,51584,549,A0
283,51959,550,OB
283,51959,551,A0
283,51660,553,F2
283,51959,553,F2
283,51959,554,A0
283,51660,556,A0
283,51584,558,F5
283,51584,559,A0
283,51660,560,A0
283,51660,561,A0
283,51959,562,A0
283,51584,565,A0
283,51584,566,A0
283,51660,567,A0
283,51584,570,G0
283,51959,570,A0
283,51660,572,G0
283,51959,576,G2
283,51584,607,F9
283,51959,609,F9
283,51584,612,F2
283,51660,614,F2
283,51660,616,F9
283,51959,617,G0
283,51660,624,A0
283,51959,624,A0
324,51666,67,K3
324,51616,68,M3
324,51666,68,M1
324,51616,69,K3
324,51666,69,F5
324,51666,70,F9
324,51616,71,K3
324,51616,72,K7
324,51666,72,M3
324,51666,73,K1
324,51616,74,M0
324,51666,74,G0
324,51666,75,M3
324,51666,76,M0
324,51616,77,K7
324,51666,77,K5
324,51616,78,M2
324,51666,78,K7
324,51616,79,K7
324,51666,79,K5
324,51666,80,F5
324,51616,81,K7
324,51666,81,F9
324,51616,82,G0
324,51666,82,K7
324,51616,83,K7
324,51666,83,M3
324,51616,84,M2
324,51666,84,K5
324,51616,85,M1
324,51666,85,K3
324,51666,86,F2
324,51616,87,G0
324,51666,87,K5
324,51616,88,K5
324,51666,88,G2
324,51666,89,F9
324,51616,90,M1
324,51666,90,K7
324,51666,91,K3
324,51616,92,K7
324,51666,92,K7
324,51616,93,M1
324,51666,93,M2
324,51666,94,M1
324,51616,95,K1
324,51666,95,M2
324,51616,96,K7
324,51616,97,K3
324,51666,97,K1
324,51616,98,M3
324,51666,98,M1
324,51666,99,K7
324,51616,100,K5
324,51666,100,K5
324,51616,101,M3
324,51666,101,M2
324,51666,102,M2
324,51666,103,M3
324,51616,104,A0
324,51666,104,M3
324,51666,105,F5
324,51616,106,M2
324,51666,106,F5
324,51666,107,M2
324,51666,108,G2
324,51616,109,M2
324,51666,109,F5
324,51616,110,K7
324,51666,110,K7
324,51616,111,M3
324,51666,111,K5
324,51616,112,M0
324,51666,112,M0
324,51616,113,F5
324,51616,114,K5
324,51666,114,F5
324,51616,115,F9
324,51666,115,K3
324,51666,116,A0
324,51616,117,M1
324,51666,117,F9
324,51616,118,K5
324,51666,118,K5
324,51616,119,F5
324,51666,120,G2
324,51616,121,K5
324,51666,121,K3
324,51666,122,F5
324,51616,123,K5
324,51666,123,K1
324,51616,124,K7
324,51666,124,K5
324,51616,125,K5
324,51666,125,K7
324,51616,126,G0
324,51666,126,M2
324,51616,127,M0
324,51666,127,G0
324,51616,128,K5
324,51666,128,K7
324,51666,129,K3
324,51616,130,K7
324,51666,130,K3
324,51616,131,M2
324,51666,131,M0
324,51616,132,K3
324,51666,132,K5
324,51616,133,K5
324,51666,133,K5
324,51616,134,M4
324,51666,134,K3
324,51666,135,M4
324,51616,136,M1
324,51666,136,K3
324,51666,138,M1
324,51616,139,M4
324,51666,140,M4
324,51616,141,M2
324,51666,141,K7
324,51666,142,M0
324,51616,143,K7
324,51666,144,M1
324,51616,145,M0
324,51666,145,K5
324,51616,146,M3
324,51666,146,F5
324,51616,147,K3
324,51666,147,K3
324,51616,148,F5
324,51666,148,F5
324,51616,149,F5
324,51666,149,M0
324,51616,150,M1
324,51666,150,M1
324,51616,151,K7
324,51666,151,K1
324,51666,152,M1
